# Downloaded 10/08/2018
# http://kronos.uchicago.edu/snax/
# All SNe with II in type
"name"	"type"	"Date Exploded (JD)"	"Coordinates"	"Distance (Mpc)"	"galaxy"	"redshift"	"redshiftErr"	"Observation Start Date (JD)"	"instrument"	"Age (days)"	"Flux (10^-13 erg cm^-2 s^-1)"	"isUpperBound"	"fluxErrL"	"fluxErrH"	"Energy Lower Bound (KeV)"	"Energy Upper Bound (KeV)"	"Luminosity (10^39 erg s^-1)"	"lumErrL"	"lumErrH"	"model"	"dateExplodedRef"	"redshiftRef"	"dateExplodedRef"	"coordsRef"	"distRef"	"dateObservedRef"	"fluxRef"	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2450908.5	ROSAT HRI	3400	0.132	0	0.0	0.0	0.2	2.0	14	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2450908.5	ROSAT HRI	3400	0.092	0	0.0	0.0	0.5	2.0	9.5	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2453185.5	Chandra ACIS	5677	0.036	0	0.0	0.0	0.2	2.0	3.7	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2453185.5	Chandra ACIS	5677	0.025	0	0.0	0.0	0.5	2.0	2.6	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.00	MCG-02-38-017	0.00617		2450296.5	ROSAT HRI	759	6.3	0	0.5	0.5	0.1	2.4	43	3	3	Bremsstrahlung	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.0000000000	MCG-02-38-017	0.0061700000	0.000000000000000	2450296.5	ROSAT HRI	759	8.9	0	0.8	0.8	0.1	2.4	61	6	6	Power Law	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.0000000000	MCG-02-38-017	0.0061700000	0.000000000000000	2450296.5	ROSAT HRI	759	9.9	0	0.9	0.9	0.5	7.0	68	6	6	Bremsstrahlung	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.0000000000	MCG-02-38-017	0.0061700000	0.000000000000000	2450296.5	ROSAT HRI	759	11.0	0	1.0	1.0	0.5	7.0	76	7	7	Power Law	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.0000000000	MCG-02-38-017	0.0061700000	0.000000000000000	2450677.5	ROSAT HRI	1140	4.5	0	0.5	0.5	0.1	2.4	31	3	3	Bremsstrahlung	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
SN 1995N	IIn	2449537.5	14 49 28.29 -10 10 14.0	24.0000000000	MCG-02-38-017	0.0061700000	0.000000000000000	2450677.5	ROSAT HRI	1140	6.3	0	0.6	0.6	0.1	2.4	43	4	4	Power Law	2005ApJ...629..933C	2004MNRAS.350.1195M	2005ApJ...629..933C	2003yCat.2246....0C	2005ApJ...629..933C	2000MNRAS.319.1154F	2000MNRAS.319.1154F	
